Date,AAPL,MSFT,GOOGL,NVDA,AMD,AMZN,TSLA,NKE,MCD,JPM,BAC,GS,BRK-B,JNJ,UNH,PFE,XOM,CVX,COP,BA,CAT,HON,META,NFLX,DIS,PG,KO,NEE,AMT,PLD
2019-10-28,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-10-29,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-10-30,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-10-31,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-01,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-04,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-05,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-06,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-07,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-08,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-11,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-12,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-13,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-14,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-15,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-18,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-19,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-20,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-21,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-22,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-25,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-26,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-27,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2019-11-28,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
